################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         39   0.0000000000000000E+00   5.4469978465357807E+00   5.4684763889424526E-01   2.7224342295688964E-01
         1         40   0.0000000000000000E+00   9.7030396614266188E+00   1.4335915517045028E+00   5.6733673780166505E-01
         1         41   0.0000000000000000E+00   2.9334851469382679E+00   2.8715186033448992E-01   1.7531541210556220E-01
         1         42   0.0000000000000000E+00   7.1895269618290998E+00   1.1738957731447475E+00   4.6797358049590948E-01
         2          1   3.1148653604192935E-03   2.2840426275781148E+01   1.0208981834502376E+01   2.1592891111917827E+00
         2          2   3.1668769985453895E-03   2.2966528015492703E+01   1.0257250820804680E+01   2.1715362549865813E+00
         2          3   2.6454932406605458E-03   2.1601547304491326E+01   9.6710128587304318E+00   2.0418540934987148E+00
         2          4   3.1219491312728378E-03   2.2812903053853827E+01   1.0129867071781744E+01   2.1592642535679447E+00
         2          5   1.8402575383589304E-03   1.9199490396118968E+01   8.6236356584984701E+00   1.8121011055388963E+00
         2          6   3.0243782353585537E-03   2.2478209560296776E+01   9.8582366170314373E+00   2.1338306591115006E+00
         2          7   1.0676687447398613E-03   1.6484362793955917E+01   7.3621571892465223E+00   1.5337235122472668E+00
         2          8   2.8837096214963790E-03   2.1992954532122734E+01   9.4785945974479926E+00   2.0996018020873932E+00
         2          9   5.1663095903311141E-04   1.3717371707672029E+01   6.1020099011955216E+00   1.2555733513970206E+00
         2         10   2.7062760222269265E-03   2.1375831381166428E+01   9.0196001403831776E+00   2.0594055249039296E+00
         2         11   1.3756048541569848E-03   2.1240894908108434E+01   8.9001375848788324E+00   2.0074687769641022E+00
         2         12   3.1108423086834936E-03   1.6047186762343550E+01   6.6879204130675349E+00   1.6023144838269423E+00
         2         13   5.9657729098887920E-04   2.0033775160643330E+01   7.8751909374226878E+00   1.8987320215204104E+00
         2         14   3.0509515584108767E-03   1.1882141064113190E+01   5.0558812765774173E+00   1.2547778308094000E+00
         2         15   1.1220514047317550E-04   1.8314936815893542E+01   6.4266752813487784E+00   1.7685957987421714E+00
         2         16   1.6679462018012002E-04   7.5825484658088476E+00   3.6319455278448181E+00   8.7673909687620466E-01
         2         17   4.0186684065820300E-07   1.5730680527306683E+01   4.1074077692773932E+00   1.5961215151123678E+00
         2         18   1.4340728104629505E-09   4.0316052720392062E+00   2.2094086401542303E+00   5.3603288591447240E-01
         2         19   0.0000000000000000E+00   5.1426649088028027E+00   1.0223114555499804E+00   4.4423631913201533E-01
         2         20   0.0000000000000000E+00   1.7021184848405312E+01   2.3349047320554410E+00   2.0763005744567122E+00
