################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         23   1.4124217508123408E-02   2.1477150671947971E+00   4.7102495410187972E-01   2.3772668888279960E-01
         1         24   7.1594021704966782E-01   5.6078863465145696E+00   2.4836165685579523E+00   6.5137305682221447E-01
         1         25   4.2501011449143158E-03   1.8498319450127960E+00   3.4249359919081762E-01   1.9315640907139078E-01
         1         26   6.2320912493853498E-01   4.6912504721515358E+00   2.1436376819559873E+00   5.4956209206486650E-01
         1         27   1.9459507090484260E-01   3.6010271526600683E+00   1.0735962084107058E+00   4.1550721660990447E-01
         1         28   1.9459507090484260E-01   3.6010271526600683E+00   1.0735962084107058E+00   4.1550721660990447E-01
         1         29   7.0494557263777491E-01   6.8677855680117652E+00   2.7463152451241677E+00   7.8991882223608156E-01
         1         30   7.0494557263777491E-01   6.8677855680117652E+00   2.7463152451241677E+00   7.8991882223608156E-01
         1         31   4.1763279858120082E-02   2.2702158286813896E+00   5.3506868720385725E-01   2.5025947213469923E-01
         1         32   5.9883845486157794E-01   5.2477003261800741E+00   2.2077877239173516E+00   6.1554951576996397E-01
         1         33   9.8597638110523335E-03   1.7624499766358550E+00   3.4445119808025398E-01   1.8545798441429717E-01
         1         34   5.2268502880095236E-01   4.2389248974048925E+00   1.8598776918341291E+00   5.0498540446531992E-01
         1         35   9.5245295304532615E-02   2.3222962112284864E+00   5.9162231350119654E-01   2.5037875095896117E-01
         1         36   4.0149914834198680E-01   4.0427307877099112E+00   1.5852285937019439E+00   4.8501855094444868E-01
         1         37   2.3084728101528576E-02   1.5233928961419532E+00   2.9279023836442447E-01   1.5341971483178835E-01
         1         38   3.5011617221939173E-01   3.0693042651285865E+00   1.2863965185651829E+00   3.8155135617902386E-01
         1         39   8.8726707855441532E-03   6.7374558068541224E-01   1.1121196858729392E-01   5.9398454346303357E-02
         1         40   7.6024576943218014E-02   1.0624954215732292E+00   3.6325673394203351E-01   1.2772151637618648E-01
         1         41   2.9156737035131342E-03   5.1015945541868779E-01   5.1211194933486415E-02   3.7294286305567720E-02
         1         42   6.8039958350339436E-02   8.6329759206388190E-01   3.0325596028822632E-01   1.0318018293416693E-01
         2          1   6.6867933041140892E+00   1.3975162988514716E+01   1.0037437184135715E+01   1.2128038176380584E+00
         2          2   6.7266442946746707E+00   1.4032640089506884E+01   1.0084797204165453E+01   1.2157210310347579E+00
         2          3   6.2671962288790857E+00   1.3325428486000250E+01   9.5124338693569239E+00   1.1725594525053582E+00
         2          4   6.6440579286674248E+00   1.3875343883107217E+01   9.9626051798177091E+00   1.2000344153552065E+00
         2          5   5.4368505640989548E+00   1.2035787451958214E+01   8.4898683010689791E+00   1.0935745219819755E+00
         2          6   6.4689748093578929E+00   1.3536278070267931E+01   9.7009038998431834E+00   1.1664430878498626E+00
         2          7   4.4380764260664165E+00   1.0429142307936559E+01   7.2567242005533652E+00   9.9513876082659858E-01
         2          8   6.1879331843102596E+00   1.3053600990708098E+01   9.3324327374057319E+00   1.1192336130981380E+00
         2          9   3.5078792137706509E+00   8.7798675625642577E+00   6.0212664251011603E+00   8.8835924035200131E-01
