################################################################################
# Energy vs. volume comparison.
################################################################################
# Col  Name        Description
################################################################################
# 1    V_atom      Volume per atom.
# 2    Eref_atom   Reference energy per atom.
# 3    N           Number of atoms.
# 4    V           Volume of structure.
# 5    Eref        Reference energy of structure.
# 6    Eref_offset Reference energy of structure (including offset).
###############################################################################################
#              1                2          3                4                5                6
#         V_atom        Eref_atom          N                V             Eref      Eref_offset
###############################################################################################
  9.45013157E+00  -3.19484521E+00        168   1.58762210E+03  -5.36733995E+02  -3.11163340E+04
  9.45013157E+00  -1.99465517E+00        168   1.58762210E+03  -3.35102068E+02  -3.09147021E+04
  9.45013157E+00  -3.15165226E+00        168   1.58762210E+03  -5.29477580E+02  -3.11090776E+04
  9.45013157E+00  -3.01280453E+00        168   1.58762210E+03  -5.06151162E+02  -3.10857512E+04
  9.45013157E+00  -3.49585895E+00        168   1.58762210E+03  -5.87304303E+02  -3.11669043E+04
  9.45013157E+00  -4.45396144E+00        168   1.58762210E+03  -7.48265522E+02  -3.13278655E+04
  9.45013157E+00  -4.22481343E+00        168   1.58762210E+03  -7.09768657E+02  -3.12893687E+04
  9.45013157E+00  -4.72058229E+00        168   1.58762210E+03  -7.93057824E+02  -3.13726578E+04
  9.45013157E+00  -3.67054788E+00        168   1.58762210E+03  -6.16652044E+02  -3.11962520E+04
  9.45013157E+00  -4.12931588E+00        168   1.58762210E+03  -6.93725068E+02  -3.12733251E+04
  9.45013157E+00  -4.76914562E+00        168   1.58762210E+03  -8.01216465E+02  -3.13808165E+04
  9.45013157E+00  -4.06367083E+00        168   1.58762210E+03  -6.82696700E+02  -3.12622967E+04
  9.45013157E+00  -2.94548636E+00        168   1.58762210E+03  -4.94841709E+02  -3.10744417E+04
  9.45013157E+00  -3.51090352E+00        168   1.58762210E+03  -5.89831791E+02  -3.11694318E+04
  9.45013157E+00  -3.87624486E+00        168   1.58762210E+03  -6.51209137E+02  -3.12308091E+04
  9.45013157E+00  -3.88084269E+00        168   1.58762210E+03  -6.51981572E+02  -3.12315816E+04
  9.45013157E+00  -2.96078236E+00        168   1.58762210E+03  -4.97411436E+02  -3.10770114E+04
  9.45013157E+00  -2.96174419E+00        168   1.58762210E+03  -4.97573024E+02  -3.10771730E+04
  9.45013157E+00  -4.08082435E+00        168   1.58762210E+03  -6.85578491E+02  -3.12651785E+04
  9.45013157E+00  -4.01243432E+00        168   1.58762210E+03  -6.74088966E+02  -3.12536890E+04
  9.45013157E+00  -3.64242297E+00        168   1.58762210E+03  -6.11927059E+02  -3.11915271E+04
  9.45013157E+00  -4.32665628E+00        168   1.58762210E+03  -7.26878256E+02  -3.13064783E+04
  9.45013157E+00  -5.19663588E+00        168   1.58762210E+03  -8.73034828E+02  -3.14526348E+04
  9.45013157E+00  -4.77133831E+00        168   1.58762210E+03  -8.01584836E+02  -3.13811848E+04
  9.45013157E+00  -5.51851553E+00        168   1.58762210E+03  -9.27110609E+02  -3.15067106E+04
  9.45013157E+00  -4.02652948E+00        168   1.58762210E+03  -6.76456953E+02  -3.12560570E+04
  9.45013157E+00  -4.25376606E+00        168   1.58762210E+03  -7.14632698E+02  -3.12942327E+04
  9.45013157E+00  -4.22241398E+00        168   1.58762210E+03  -7.09365549E+02  -3.12889655E+04
  9.45013157E+00  -5.25582903E+00        168   1.58762210E+03  -8.82979277E+02  -3.14625793E+04
  9.45013157E+00  -4.97196353E+00        168   1.58762210E+03  -8.35289873E+02  -3.14148899E+04
  9.45013157E+00  -4.85629815E+00        168   1.58762210E+03  -8.15858090E+02  -3.13954581E+04
  9.45013157E+00  -3.31842408E+00        168   1.58762210E+03  -5.57495246E+02  -3.11370952E+04
  9.45013157E+00  -4.41043215E+00        168   1.58762210E+03  -7.40952602E+02  -3.13205526E+04
  9.45013157E+00  -5.46443968E+00        168   1.58762210E+03  -9.18025866E+02  -3.14976259E+04
  9.45013157E+00  -4.02403600E+00        168   1.58762210E+03  -6.76038049E+02  -3.12556380E+04
  9.45013157E+00  -2.38656432E+00        168   1.58762210E+03  -4.00942805E+02  -3.09805428E+04
  9.45013157E+00  -4.17919450E+00        168   1.58762210E+03  -7.02104676E+02  -3.12817047E+04
  9.45013157E+00  -4.27864091E+00        168   1.58762210E+03  -7.18811672E+02  -3.12984117E+04
  9.45013157E+00  -3.30543140E+00        168   1.58762210E+03  -5.55312475E+02  -3.11349125E+04
  9.45013157E+00  -2.89902419E+00        168   1.58762210E+03  -4.87036064E+02  -3.10666361E+04
  9.45013157E+00  -3.46418525E+00        168   1.58762210E+03  -5.81983122E+02  -3.11615831E+04
  9.45013157E+00  -4.13728267E+00        168   1.58762210E+03  -6.95063488E+02  -3.12746635E+04
  9.45013157E+00  -4.52484247E+00        168   1.58762210E+03  -7.60173534E+02  -3.13397735E+04
  9.45013157E+00  -3.60864021E+00        168   1.58762210E+03  -6.06251556E+02  -3.11858516E+04
  9.45013157E+00  -4.21443568E+00        168   1.58762210E+03  -7.08025195E+02  -3.12876252E+04
