################################################################################
# Statistics for individual neurons gathered during RMSE calculation.
################################################################################
# Col  Name    Description
################################################################################
# 1    element Element index.
# 2    neuron  Neuron number.
# 3    count   Number of neuron value computations.
# 4    min     Minimum neuron value encounterd.
# 5    max     Maximum neuron value encounterd.
# 6    mean    Mean neuron value.
# 7    sigma   Standard deviation of neuron value.
####################################################################################################
#        1          2          3                4                5                6                7
#  element     neuron      count              min              max             mean            sigma
####################################################################################################
         1        122      19806  -4.86006060E-01   1.85952537E-01  -6.07818552E-05   7.70761121E-02
         1        123      19806  -4.27629807E-01   5.10582790E-01  -4.42542214E-04   1.43852562E-01
         1        124      19806  -2.89660817E-01   5.68398719E-01   8.37730554E-04   9.08039203E-02
         1        125      19806  -3.30187632E-01   2.89532277E-01  -6.56976124E-04   9.48573439E-02
         1        126      19806  -8.62180240E-01   7.69254731E-01  -3.64835689E-04   2.40107392E-01
         1        127      19806  -2.14470572E-01   2.00966829E-01  -3.06664622E-04   5.65169305E-02
         1        128      19806  -2.38516559E-01   3.96798197E-01   1.31427730E-03   7.70947940E-02
         1        129      19806  -2.90492911E-01   2.33415621E-01   9.71212601E-04   8.76327057E-02
         1        130      19806  -2.64321209E-01   1.92896486E-01   3.54529160E-04   6.16079859E-02
         1        131      19806  -2.10130046E-01   2.15027906E-01  -4.91272929E-04   5.12394327E-02
         1        132      19806  -5.44474386E-01   3.89254252E-01   3.89200256E-05   1.40620650E-01
         1        133      19806  -3.50300216E-01   3.55317730E-01  -5.22123658E-04   9.45808202E-02
         1        134      19806  -6.86864651E-01   7.86894502E-01  -9.49454160E-04   2.12497559E-01
         1        135      19806  -2.78877332E-01   5.25882041E-01  -1.30908979E-03   1.23717159E-01
         1        136      19806  -5.58397388E-01   3.75342261E-01   8.54585378E-04   1.31997978E-01
         1        137      19806  -4.95461361E-01   3.48253826E-01   2.52053594E-04   1.25217414E-01
         1        138      19806  -5.25218351E-01   1.33770971E-01   4.34150609E-04   7.02079030E-02
         1        139      19806  -3.41568128E-01   4.72613707E-01  -8.59068945E-04   9.98591877E-02
         1        140      19806  -3.09156735E-01   2.02822199E-01   1.97533934E-04   5.59437403E-02
         1        141      19806  -2.46319170E-01   3.90320304E-01  -1.38965506E-03   8.35513068E-02
         1        142      19806  -5.57580830E-01   2.83954952E-01   3.09564873E-04   9.35794642E-02
         1        143      19806  -1.20085253E+00   8.61200381E-01   3.59000870E-04   3.54380601E-01
         2          1       9903  -4.59724743E-01   5.40275257E-01  -1.12942519E-14   1.66402621E-01
         2          2       9903  -4.59643422E-01   5.40356578E-01  -9.64390639E-16   1.66400456E-01
         2          3       9903  -4.59780512E-01   5.40219488E-01  -5.88447352E-16   1.66126504E-01
         2          4       9903  -4.58915229E-01   5.41084771E-01  -2.40183965E-15   1.65950347E-01
         2          5       9903  -4.62652968E-01   5.37347032E-01   3.81531399E-15   1.65719803E-01
         2          6       9903  -4.57307260E-01   5.42692740E-01   7.41708130E-15   1.65047833E-01
         2          7       9903  -4.70475176E-01   5.29524824E-01  -5.63900918E-15   1.66103792E-01
         2          8       9903  -4.58003452E-01   5.41996548E-01   2.60076162E-15   1.63018900E-01
