################################################################################
# Energy comparison.
################################################################################
# Col  Name  Description
################################################################################
# 1    index Structure index.
# 2    Eref  Reference potential energy per atom (training units).
# 3    Ennp  NNP potential energy per atom (training units).
################################################################################
#        1                2                3
#    index             Eref             Ennp
############################################
       299   3.14848525E-01  -3.36961949E-02
       300  -1.39372490E-01  -9.30590143E-03
       301   1.85437228E-02  -1.40852890E-03
       303   7.38096655E-01   9.40178798E-03
       304   5.53365305E-01   3.88154293E-02
       305   1.61146235E-01  -9.65811569E-03
       306   3.26876779E-01  -1.53836390E-02
       307   1.66588929E-01  -5.80141034E-02
       308   2.83151991E-01   7.76956047E-03
       309   1.71285429E-01   1.68880192E-04
       310  -5.82536461E-02  -3.79707068E-02
       311  -1.59160012E-01  -5.72893569E-02
       312   3.64094933E-01  -1.65324360E-02
       314   2.14897438E-01  -8.40874412E-03
       316   8.84077464E-02   2.00823188E-02
       317   9.59170384E-02   2.18252276E-02
       318  -1.40772228E-01   2.77216049E-02
       319   6.13286911E-01   5.49931313E-02
       320  -1.27189869E-02   2.14056031E-02
       321  -1.20067256E-01  -3.27059904E-03
       322   1.47014187E-01  -3.99159782E-02
       323  -5.93196007E-02   2.71355024E-02
       324  -5.31651420E-01   8.93078408E-03
       325   2.61255409E-01  -2.73685872E-02
       326   9.81050419E-02  -2.09188287E-02
       327   1.31292916E-01  -1.14494746E-01
       328  -1.92727847E-01   3.41011019E-03
       329  -6.61249454E-02   3.67582833E-04
       330   7.18234486E-02  -1.18940066E-02
       331   6.98818295E-02   1.54777972E-03
       332  -1.00816391E-01  -5.97235153E-03
       334  -7.52693070E-02  -4.51000939E-02
       335   2.71450195E-01   1.64979508E-02
       336   1.53393065E-01  -6.28918383E-03
       337  -1.05934134E-01  -4.67483736E-03
       338   2.52307026E-01   1.38233695E-02
       339   3.57061065E-01  -3.72309545E-02
       340  -4.07244839E-02  -2.64837554E-02
       341  -1.75011167E-01  -1.04662436E-02
       342  -3.58179132E-01  -6.58556410E-03
       343   5.79140209E-01   1.04475976E-02
       344   5.25067162E-01  -1.97790374E-02
       345  -8.86098861E-02  -6.25297071E-03
       346  -5.22348827E-02   5.47333643E-03
       347  -1.34699438E-01   1.74084163E-02
       348  -2.74095187E-01  -5.26059532E-02
       349  -1.50733528E-01  -7.26846845E-02
       350   1.14357263E-02   1.74063720E-02
       351  -2.85771293E-01  -5.69849734E-02
       352   1.94612453E-01  -3.40877489E-02
       353  -4.82510398E-01  -6.13208685E-03
       354  -5.20025368E-01  -1.72119057E-02
       355   1.54966227E-01  -1.02635640E-02
       356   7.29124281E-02  -4.11049950E-02
       357   1.91164550E-02  -2.48705707E-02
