################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         30   0.0000000000000000E+00   3.1575808342885846E+01   2.9711846523255101E+00   1.8926763295216904E+00
         2         31   0.0000000000000000E+00   1.7118110675066692E+01   1.8081679596306726E+00   9.5868808432985775E-01
         2         32   0.0000000000000000E+00   3.6159970788121342E+01   3.2899949822666392E+00   2.1033121165247701E+00
         2         33   0.0000000000000000E+00   8.6197444007886102E+00   1.0571495387832592E+00   5.1385725509078517E-01
         2         34   0.0000000000000000E+00   2.7609818321575816E+01   2.5389765614192261E+00   1.6306567044426590E+00
         2         35   0.0000000000000000E+00   1.5156356859646106E+01   1.5840936462421269E+00   8.4380140101919177E-01
         2         36   0.0000000000000000E+00   3.1773338181888299E+01   2.8246459600377287E+00   1.8208145361164039E+00
         2         37   0.0000000000000000E+00   4.8063993595152033E+00   6.6888761187629531E-01   3.2146431443842310E-01
         2         38   0.0000000000000000E+00   1.9476255015538303E+01   1.7973482419982911E+00   1.1639770400181049E+00
         2         39   0.0000000000000000E+00   1.0712802132086580E+01   1.0849248451127562E+00   5.8904484016182146E-01
         2         40   0.0000000000000000E+00   2.1921115741400541E+01   1.8221940270224433E+00   1.2053932880832177E+00
         2         41   0.0000000000000000E+00   5.4058855432615678E+00   6.6187249894048428E-01   3.3595725760221451E-01
         2         42   0.0000000000000000E+00   1.6609036351626809E+01   1.3991416808501715E+00   9.3004821130872850E-01
         3          1   0.0000000000000000E+00   3.6675396716191422E+01   1.0464831526944318E+01   3.3653124727841126E+00
         3          2   0.0000000000000000E+00   3.6827315345429476E+01   1.0523924124941363E+01   3.3820229985718298E+00
         3          3   0.0000000000000000E+00   3.4935505581780852E+01   9.8596230437482681E+00   3.1955285702925824E+00
         3          4   0.0000000000000000E+00   3.6387694341979056E+01   1.0423105753516353E+01   3.3551679198237294E+00
         3          5   0.0000000000000000E+00   3.1493247292392155E+01   8.6812495484848764E+00   2.8636056539282815E+00
         3          6   0.0000000000000000E+00   3.5447863589649380E+01   1.0207507318233182E+01   3.2978527744258579E+00
         3          7   0.0000000000000000E+00   2.7230979579957054E+01   7.2633959234546088E+00   2.4609507681097766E+00
         3          8   0.0000000000000000E+00   3.4128182402220482E+01   9.9046574260558433E+00   3.2175720704876065E+00
         3          9   0.0000000000000000E+00   2.2809612845664109E+01   5.8526958007685401E+00   2.0544781323168970E+00
         3         10   0.0000000000000000E+00   3.2618286116365283E+01   9.5358323029292684E+00   3.1200668994633447E+00
         3         11   0.0000000000000000E+00   3.3208625256987460E+01   9.1121788603360372E+00   3.1259858028174881E+00
         3         12   0.0000000000000000E+00   2.3418910632221841E+01   7.3551372790894298E+00   2.3530905852993955E+00
         3         13   0.0000000000000000E+00   3.0589953603177641E+01   8.0522445545190955E+00   2.9479348138826813E+00
         3         14   0.0000000000000000E+00   1.6726773584054332E+01   5.7439482986407819E+00   1.8113069590878370E+00
         3         15   0.0000000000000000E+00   2.6893414185956399E+01   6.5623972216546749E+00   2.7162826363465178E+00
         3         16   0.0000000000000000E+00   1.1315861833178763E+01   4.1471189575438157E+00   1.2512584477525335E+00
         3         17   0.0000000000000000E+00   2.0658731099270334E+01   4.2198921376888023E+00   2.3511517773480914E+00
         3         18   0.0000000000000000E+00   6.4516805996786672E+00   2.4074800485738344E+00   6.9776657430516464E-01
         3         19   0.0000000000000000E+00   1.0684161229130746E+01   6.2684218533215685E-01   6.3872182627809770E-01
