################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.2643480841408063E+01 a       173     0     4     1    23
 -3.2917065033212021E+00 a       174     0     4     1    24
 -9.5739312494239215E+00 a       175     0     4     1    25
 -1.9974522222458219E+01 a       176     0     4     1    26
 -4.2850624270777075E+01 a       177     0     4     1    27
 -4.1163571827094962E+00 a       178     0     4     1    28
 -2.9002729660739664E+01 a       179     0     4     1    29
  5.6622094727297947E+00 a       180     0     4     1    30
 -4.8619909446985837E+01 a       181     0     4     1    31
  5.8115213755946478E+00 a       182     0     4     1    32
  4.0275350704754445E+01 a       183     0     4     1    33
 -3.4354698692693376E+01 a       184     0     4     1    34
  3.4629457361860624E+01 a       185     0     4     1    35
 -5.1075791890274989E+00 a       186     0     4     1    36
  1.5833852147863324E+01 a       187     0     4     1    37
  2.5067004315722048E+01 a       188     0     4     1    38
  3.4768200971860651E+01 a       189     0     4     1    39
 -1.5987713131401028E+01 a       190     0     4     1    40
 -9.0540380747621789E+00 a       191     0     4     1    41
  1.5385162205164610E+01 a       192     0     4     1    42
 -4.9363357765601862E+01 a       193     0     4     1    43
 -2.7863032431300773E+01 a       194     0     4     1    44
 -6.7200929470992207E+01 a       195     0     4     1    45
  1.3162682969417697E+01 a       196     0     4     1    46
  1.1403225180176170E+01 a       197     0     4     1    47
  3.1439233745549821E+01 a       198     0     4     1    48
  5.8796416282477807E+01 a       199     0     4     1    49
 -2.6480867334562390E+01 a       200     0     4     1    50
  2.4589908258621193E+01 a       201     0     5     1     1
 -3.9905549295997575E+00 a       202     0     5     1     2
  1.5701199303743121E+02 a       203     0     5     1     3
 -1.1054872526604164E+02 a       204     0     5     1     4
 -7.0682009983402992E+01 a       205     0     5     1     5
 -4.1093440793865739E+01 a       206     0     5     1     6
  5.3586521942760941E+00 a       207     0     5     1     7
 -7.4259796979622848E+01 a       208     0     5     1     8
 -2.4136990717696527E+00 a       209     0     5     1     9
 -5.3843839113959757E+02 a       210     0     5     1    10
 -7.3312889010922476E+01 a       211     0     5     1    11
  1.9125423642527643E+01 a       212     0     5     1    12
 -1.6796453871175409E+01 a       213     0     5     1    13
 -2.1076216574337494E+02 a       214     0     5     1    14
  4.2711429887769526E+01 a       215     0     5     1    15
  2.3410915986653627E+01 a       216     0     5     1    16
  5.0868514337273581E+02 a       217     0     5     1    17
 -8.4514631202448612E+01 a       218     0     5     1    18
  1.3032692357863561E+02 a       219     0     5     1    19
 -4.8177601546836726E+01 a       220     0     5     1    20
 -1.1565159388072007E+02 a       221     0     5     1    21
 -4.8644997184180198E+01 a       222     0     5     1    22
 -2.2733666661438164E+01 a       223     0     5     1    23
 -3.2454495069359766E+01 a       224     0     5     1    24
  4.9577252549410446E+02 a       225     0     5     1    25
  1.2359384081959368E+02 a       226     0     5     1    26
  1.2944149576210887E+02 a       227     0     5     1    27
  3.0781865468075612E+01 a       228     0     5     1    28
  9.3753652867690249E+00 a       229     0     5     1    29
  1.8188051298859801E+01 a       230     0     5     1    30
  2.8332512023718028E+01 a       231     0     5     1    31
 -5.1555826917524236E+01 a       232     0     5     1    32
 -1.1040967031059782E+02 a       233     0     5     1    33
  4.7181180571304702E+02 a       234     0     5     1    34
 -2.2685745439121980E+01 a       235     0     5     1    35
  2.8951520239916402E+01 a       236     0     5     1    36
  1.1522680281727380E+01 a       237     0     5     1    37
  3.8370327418571367E+02 a       238     0     5     1    38
 -6.6020969835890355E+01 a       239     0     5     1    39
 -4.9080256713276968E+00 a       240     0     5     1    40
  1.4342523095127052E+02 a       241     0     5     1    41
  1.1023254346411626E+02 a       242     0     5     1    42
  4.6665217614246828E+01 a       243     0     5     1    43
  4.7254742086158849E+01 a       244     0     5     1    44
  4.4268231874164265E+01 a       245     0     5     1    45
  4.8046858375075175E+01 a       246     0     5     1    46
 -3.8627521456733724E+01 a       247     0     5     1    47
 -6.7822827996704817E+01 a       248     0     5     1    48
 -6.2228842677134031E+00 a       249     0     5     1    49
  1.1425956596432064E+02 a       250     0     5     1    50
 -2.1747272218695116E+01 a       251     0     6     1     1
  4.7421400610433388E+01 a       252     0     6     1     2
 -2.2870553860479632E+02 a       253     0     6     1     3
  1.3732985547194016E+02 a       254     0     6     1     4
  9.7510134770770421E+01 a       255     0     6     1     5
  4.9009076479550735E+01 a       256     0     6     1     6
 -7.4868007164930663E+00 a       257     0     6     1     7
  1.0927028232061858E+02 a       258     0     6     1     8
  1.9521885226907720E+00 a       259     0     6     1     9
  7.2157645914327236E+02 a       260     0     6     1    10
  9.1453021959154384E+01 a       261     0     6     1    11
 -2.6195189115713788E+01 a       262     0     6     1    12
  1.2154954863648037E+01 a       263     0     6     1    13
  2.3063081584545841E+02 a       264     0     6     1    14
 -5.0092457879961550E+01 a       265     0     6     1    15
 -2.3336556743442305E+01 a       266     0     6     1    16
 -6.9970620705415729E+02 a       267     0     6     1    17
  1.0054095712305315E+02 a       268     0     6     1    18
 -1.4693741938586007E+02 a       269     0     6     1    19
  6.5535565634738575E+01 a       270     0     6     1    20
  1.5252117964688409E+02 a       271     0     6     1    21
  5.8809527133455695E+01 a       272     0     6     1    22
  2.2713295556723061E+01 a       273     0     6     1    23
  6.4031353407374269E+01 a       274     0     6     1    24
 -6.5351226619302406E+02 a       275     0     6     1    25
 -1.5844739796794605E+02 a       276     0     6     1    26
 -1.6649153632922247E+02 a       277     0     6     1    27
 -3.1938096987784565E+01 a       278     0     6     1    28
 -2.2621832661215304E+01 a       279     0     6     1    29
 -2.1540052052950202E+01 a       280     0     6     1    30
  6.8235241915884730E+00 a       281     0     6     1    31
  5.7145684294832989E+01 a       282     0     6     1    32
  1.2118414909719834E+02 a       283     0     6     1    33
 -6.1797517117910093E+02 a       284     0     6     1    34
  2.3369313353154773E+01 a       285     0     6     1    35
 -2.8572699515353698E+01 a       286     0     6     1    36
 -1.1856756705655814E+01 a       287     0     6     1    37
 -5.1702291205641507E+02 a       288     0     6     1    38
  8.4596147431960986E+01 a       289     0     6     1    39
 -1.6962322853883144E+01 a       290     0     6     1    40
 -1.8019137698221493E+02 a       291     0     6     1    41
 -1.5493605574606281E+02 a       292     0     6     1    42
 -6.4697252229148063E+01 a       293     0     6     1    43
 -4.7183869395085260E+01 a       294     0     6     1    44
 -5.9027696571326473E+01 a       295     0     6     1    45
 -6.5237786016658433E+01 a       296     0     6     1    46
  5.8724566525316526E+01 a       297     0     6     1    47
  8.3531410820531860E+01 a       298     0     6     1    48
 -2.3511891520983276E+01 a       299     0     6     1    49
 -1.2037828271048186E+02 a       300     0     6     1    50
  3.8591172169690552E+01 a       301     0     7     1     1
