################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.6495372526629854E+01 a       242     0     5     1    42
  1.9857720758966110E+01 a       243     0     5     1    43
 -2.3211854740101167E+01 a       244     0     5     1    44
  2.8158975987824899E+01 a       245     0     5     1    45
 -9.7851625456719926E-01 a       246     0     5     1    46
 -1.7852993235534407E+00 a       247     0     5     1    47
 -1.5757729638959566E+00 a       248     0     5     1    48
  4.5810155382580486E+00 a       249     0     5     1    49
  2.5758784871754109E+01 a       250     0     5     1    50
 -1.3883076088435375E+01 a       251     0     6     1     1
  1.2032291759515614E+01 a       252     0     6     1     2
 -8.3183982144313866E+00 a       253     0     6     1     3
 -1.0919133447154680E+01 a       254     0     6     1     4
 -2.4546210258073220E+00 a       255     0     6     1     5
 -3.3044867196817225E+00 a       256     0     6     1     6
  8.1437479348463064E+00 a       257     0     6     1     7
 -8.0001068035127387E-01 a       258     0     6     1     8
  2.4686945009235465E+01 a       259     0     6     1     9
 -6.3529317700584969E+00 a       260     0     6     1    10
  4.3911156816355987E+00 a       261     0     6     1    11
 -1.2931269620655263E+01 a       262     0     6     1    12
  1.7585740192177479E+01 a       263     0     6     1    13
  1.0070528809557057E+01 a       264     0     6     1    14
 -2.2153841636233724E+00 a       265     0     6     1    15
 -7.4553947742508797E-01 a       266     0     6     1    16
 -4.5554555691718841E+00 a       267     0     6     1    17
  1.4467948623347729E+01 a       268     0     6     1    18
  2.2243123991147016E+00 a       269     0     6     1    19
 -2.8847496895767343E+01 a       270     0     6     1    20
 -6.3492054614326703E+00 a       271     0     6     1    21
 -6.3118473175406535E+00 a       272     0     6     1    22
 -2.7818219796520465E+00 a       273     0     6     1    23
 -2.7994225239256760E+01 a       274     0     6     1    24
 -3.4084880285495522E+00 a       275     0     6     1    25
 -3.3309217295473452E+00 a       276     0     6     1    26
  5.9268777689379517E+00 a       277     0     6     1    27
  9.1204025366923669E-01 a       278     0     6     1    28
  2.1299817702959228E+01 a       279     0     6     1    29
 -2.2203282235383163E+01 a       280     0     6     1    30
  4.3367916542710852E+00 a       281     0     6     1    31
  5.4336090894860325E+00 a       282     0     6     1    32
  1.9362605735744975E+00 a       283     0     6     1    33
  7.1506627670734424E-01 a       284     0     6     1    34
 -3.4622957248494508E+00 a       285     0     6     1    35
 -3.0104234014797031E+00 a       286     0     6     1    36
  1.0307823391720580E+01 a       287     0     6     1    37
  4.1643230222916108E+00 a       288     0     6     1    38
 -1.5230119907739150E+00 a       289     0     6     1    39
  2.1794458415008151E+01 a       290     0     6     1    40
  5.2405657738908031E+00 a       291     0     6     1    41
 -1.8776751956646049E+01 a       292     0     6     1    42
 -2.3477303286817520E+01 a       293     0     6     1    43
  2.6164295994035335E+01 a       294     0     6     1    44
 -3.2264463396649873E+01 a       295     0     6     1    45
 -3.2491272049070524E-01 a       296     0     6     1    46
  2.7519450638736047E+00 a       297     0     6     1    47
  6.8710561718999683E+00 a       298     0     6     1    48
 -5.5625452108720834E+00 a       299     0     6     1    49
 -2.7598260006693483E+01 a       300     0     6     1    50
  8.3725783334711696E+00 a       301     0     7     1     1
 -7.7691270574772568E+00 a       302     0     7     1     2
  8.9484279323341056E+00 a       303     0     7     1     3
  7.8994468636679080E+00 a       304     0     7     1     4
  4.5765591082371584E+00 a       305     0     7     1     5
  6.0044085020745994E+00 a       306     0     7     1     6
 -4.8766479648167342E+00 a       307     0     7     1     7
  4.3647664948315388E+00 a       308     0     7     1     8
 -1.8069988651429416E+01 a       309     0     7     1     9
  5.1067046813933494E+00 a       310     0     7     1    10
 -1.2077260461351966E+00 a       311     0     7     1    11
  6.5934799761261162E+00 a       312     0     7     1    12
 -8.9551046780474177E+00 a       313     0     7     1    13
 -7.6798003500774117E+00 a       314     0     7     1    14
  5.2711658241590831E+00 a       315     0     7     1    15
  2.4110396532093352E+00 a       316     0     7     1    16
  1.7622469352764123E+00 a       317     0     7     1    17
 -1.3767203279980627E+01 a       318     0     7     1    18
 -2.2002652799950861E+00 a       319     0     7     1    19
  9.0435283681646919E+00 a       320     0     7     1    20
  4.6251861192520174E+00 a       321     0     7     1    21
  1.1665524137781688E+01 a       322     0     7     1    22
  1.0912844335629892E+00 a       323     0     7     1    23
  1.9762973882426202E+01 a       324     0     7     1    24
  7.2488961652248074E+00 a       325     0     7     1    25
 -7.4370800596591247E-01 a       326     0     7     1    26
 -4.2042474594427333E+00 a       327     0     7     1    27
 -6.2082648063263637E+00 a       328     0     7     1    28
 -1.4764497294977417E+01 a       329     0     7     1    29
  1.5331570039539729E+01 a       330     0     7     1    30
 -1.5408069515912100E+00 a       331     0     7     1    31
 -5.0223161180374660E+00 a       332     0     7     1    32
 -1.2929008952761050E+00 a       333     0     7     1    33
  4.3414982591083029E-01 a       334     0     7     1    34
  4.6260105362496455E+00 a       335     0     7     1    35
  1.4824844137843387E+00 a       336     0     7     1    36
 -7.4755611991814632E+00 a       337     0     7     1    37
 -6.2704852237688034E+00 a       338     0     7     1    38
  9.1244154332645844E-01 a       339     0     7     1    39
 -1.6945605047718050E+01 a       340     0     7     1    40
 -2.7641795353672629E+00 a       341     0     7     1    41
  1.7034811098248607E+01 a       342     0     7     1    42
  1.7680611590043394E+01 a       343     0     7     1    43
 -1.7746424906128873E+01 a       344     0     7     1    44
  1.9764850263589469E+01 a       345     0     7     1    45
 -1.0663321215944110E+00 a       346     0     7     1    46
 -2.4666171158153243E+00 a       347     0     7     1    47
 -4.8084092238186908E+00 a       348     0     7     1    48
  2.1566068483438845E+00 a       349     0     7     1    49
  2.1700372099455087E+01 a       350     0     7     1    50
 -1.6218924682371295E+01 a       351     0     8     1     1
  1.4490158860483197E+01 a       352     0     8     1     2
 -9.2055359828601127E+00 a       353     0     8     1     3
 -1.3762328412663805E+01 a       354     0     8     1     4
 -4.8432825696980281E-01 a       355     0     8     1     5
 -5.3154986398081627E+00 a       356     0     8     1     6
  1.0533866265816782E+01 a       357     0     8     1     7
  1.5112894615855998E+00 a       358     0     8     1     8
  3.3328114820927553E+01 a       359     0     8     1     9
 -8.4581187333653904E+00 a       360     0     8     1    10
  6.8207051290027136E+00 a       361     0     8     1    11
 -1.9115333848714180E+01 a       362     0     8     1    12
  2.4238373111641341E+01 a       363     0     8     1    13
  7.2623178010748406E+00 a       364     0     8     1    14
 -3.9974729614279489E-02 a       365     0     8     1    15
 -7.6180007430861862E-01 a       366     0     8     1    16
 -9.2864908046595520E+00 a       367     0     8     1    17
  1.6711806761717249E+01 a       368     0     8     1    18
  1.4968416832875000E+00 a       369     0     8     1    19
 -4.1435240744845409E+01 a       370     0     8     1    20
 -9.1063682125291034E+00 a       371     0     8     1    21
 -7.5200233297686392E+00 a       372     0     8     1    22
 -7.0502201647104314E+00 a       373     0     8     1    23
 -3.7606853933520632E+01 a       374     0     8     1    24
